32484,3.57E+15,169,12451168,1.20E+11,1.54E+18
37775,3.62E+15,150,12491159,27184536453,3.09E+17
49928,4.16E+15,234,12481302,71934808130,8.86E+17
45086,5.24E+15,148,12434209,2.38E+11,2.91E+18
50543,4.23E+15,184,12503316,70759860819,8.71E+17
37936,4.00E+15,208,12486255,67624114394,7.97E+17
44568,3.82E+15,175,12476088,82827988428,1.01E+18
43772,3.26E+15,225,12380416,71629872021,8.24E+17
43711,3.36E+15,215,12182080,33628791501,4.01E+17
44716,3.28E+15,244,12492547,1.03E+11,8.62E+17
60093,3.45E+15,298,12476236,56947403759,5.48E+17
49412,5.05E+15,221,12472246,5.49E+11,7.14E+18
41869,3.29E+15,243,12466868,1.24E+11,1.56E+18
49098,4.50E+15,198,12476155,3.38E+11,4.12E+18
46852,3.28E+15,198,12477090,43691114331,7.34E+17
42141,5.17E+15,209,12503510,1.58E+11,1.88E+18
52049,3.96E+15,254,12316695,1.53E+11,1.87E+18
17442,3.63E+15,86,12491553,39705668637,4.61E+17
39189,4.00E+15,187,12510255,1.41E+11,1.70E+18
37538,3.68E+15,200,12494374,1.33E+11,1.73E+18
40781,3.78E+15,173,12494650,1.64E+11,1.97E+18
35344,4.63E+15,135,12487468,89265178710,1.05E+18
40676,3.41E+15,122,12438961,31386211818,3.45E+17
51630,3.84E+15,255,12493878,89356744529,1.33E+18
47386,3.75E+15,199,12470341,77266909470,8.96E+17
46378,4.41E+15,221,12481937,1.18E+11,1.49E+18
26320,5.24E+15,107,12446278,1.29E+11,1.48E+18
47823,4.81E+15,246,12469496,3.87E+11,4.82E+18
61917,3.51E+15,237,12475690,1.01E+11,1.25E+18
38574,3.94E+15,172,12446536,1.15E+11,1.34E+18
49413,3.45E+15,167,12497156,8.96E+11,1.05E+19
44252,3.27E+15,253,12419417,73154834566,9.12E+17
42747,3.30E+15,201,12421850,64454142909,7.98E+17
44428,3.74E+15,148,12462491,1.26E+11,1.49E+18
38439,3.29E+15,186,12466840,1.28E+11,1.47E+18
52289,5.45E+15,159,12475278,95245283019,1.17E+18
